date,strategy,equity,benchmark_equity,drawdown,regime
2022-04-12,full_v0,17756.833191887843,15216.04655514948,-0.03034167887118233,2022_rates_inflation_shock
2022-04-13,full_v0,17777.00527184154,15471.417894856639,-0.02924012968331735,2022_rates_inflation_shock
2022-04-14,full_v0,17732.346875856078,15578.002615864281,-0.031678818204385006,2022_rates_inflation_shock
2022-04-18,full_v0,17813.559443997732,15884.880393491541,-0.027243993501815056,2022_rates_inflation_shock
2022-04-19,full_v0,17675.936167722237,15366.756191225883,-0.03475927246960475,2022_rates_inflation_shock
2022-04-20,full_v0,17710.65604747805,15278.611380160146,-0.032863302622391455,2022_rates_inflation_shock
2022-04-21,full_v0,17681.111075894358,15263.48333314898,-0.03447668307340168,2022_rates_inflation_shock
2022-04-22,full_v0,17560.415269441608,14884.234022383638,-0.04106759327611342,2022_rates_inflation_shock
2022-04-25,full_v0,17416.964560493732,14828.512272545164,-0.048901094447182714,2022_rates_inflation_shock
2022-04-26,full_v0,17439.61732038472,14804.172015598631,-0.04766408124288768,2022_rates_inflation_shock
2022-04-27,full_v0,17397.444004822886,14915.469435651736,-0.04996706544745888,2022_rates_inflation_shock
2022-04-28,full_v0,17450.997364747614,14840.67558846944,-0.04704264415486348,2022_rates_inflation_shock
2022-04-29,full_v0,17394.047363124064,14824.088122700648,-0.05015254795166235,2022_rates_inflation_shock
2022-05-02,full_v0,17271.934130354366,14835.87836296581,-0.05682086042582435,2022_rates_inflation_shock
2022-05-03,full_v0,17258.30123332181,14849.832029015235,-0.0575653204264257,2022_rates_inflation_shock
2022-05-04,full_v0,17359.89498421223,15322.688501424584,-0.052017527930937835,2022_rates_inflation_shock
2022-05-05,full_v0,17348.162956780187,15309.771743451882,-0.05265818597509797,2022_rates_inflation_shock
2022-05-06,full_v0,17293.79982984858,15094.626530650288,-0.055626826713126465,2022_rates_inflation_shock
2022-05-09,full_v0,17092.518559455646,14417.800909502692,-0.06661831695323583,2022_rates_inflation_shock
2022-05-10,full_v0,17082.38694176147,14318.539178746925,-0.06717158043763605,2022_rates_inflation_shock
2022-05-11,full_v0,17220.078441929156,14711.163365741528,-0.059652575925767226,2022_rates_inflation_shock
2022-05-12,full_v0,17159.202402507093,14565.09016416073,-0.06297687128547891,2022_rates_inflation_shock
2022-05-13,full_v0,17163.878647310565,14701.298004420258,-0.06272151270682236,2022_rates_inflation_shock
2022-05-16,full_v0,17369.489009573466,15043.835724058,-0.05149362108200184,2022_rates_inflation_shock
2022-05-17,full_v0,17361.964590717875,15084.681766334696,-0.05190451165444454,2022_rates_inflation_shock
2022-05-18,full_v0,17237.879047126935,14899.563483280115,-0.058680527319766695,2022_rates_inflation_shock
2022-05-19,full_v0,17316.64238910934,15076.127479452587,-0.05437944901780667,2022_rates_inflation_shock
2022-05-20,full_v0,17285.70672024983,15058.834219922153,-0.05606877213106398,2022_rates_inflation_shock
2022-05-23,full_v0,17358.063851297164,15345.514167140314,-0.052117521733267336,2022_rates_inflation_shock
2022-05-24,full_v0,17337.188957924038,15361.453545025715,-0.053257449886175534,2022_rates_inflation_shock
2022-05-25,full_v0,17277.92860372826,15358.233694749435,-0.05649351652812762,2022_rates_inflation_shock
2022-05-26,full_v0,17319.39880448288,15367.733597867555,-0.05422892774666799,2022_rates_inflation_shock
2022-05-27,full_v0,17354.935086974336,15437.585215273804,-0.05228837609269599,2022_rates_inflation_shock
2022-05-31,full_v0,17200.136859460952,15131.473191535602,-0.06074153819554862,2022_rates_inflation_shock
2022-06-01,full_v0,17189.220447368523,15379.29213420686,-0.06133765743076958,2022_rates_inflation_shock
2022-06-02,full_v0,17294.376361620813,15583.279965691137,-0.055595343687730114,2022_rates_inflation_shock
2022-06-03,full_v0,17346.628483173747,15515.5618851804,-0.05274197991993934,2022_rates_inflation_shock
2022-06-06,full_v0,17367.28889628275,15755.28514325229,-0.0516137640228469,2022_rates_inflation_shock
2022-06-07,full_v0,17430.38507130092,15843.772821238741,-0.048168232351934015,2022_rates_inflation_shock
2022-06-08,full_v0,17534.095414381114,15678.017314519437,-0.04250485780377533,2022_rates_inflation_shock
2022-06-09,full_v0,17494.04833950378,15637.498930852991,-0.044691733074384676,2022_rates_inflation_shock
2022-06-10,full_v0,17411.69390311175,15563.660094106986,-0.04918891247943136,2022_rates_inflation_shock
2022-06-13,full_v0,17362.62149997897,15293.84203449506,-0.0518686394060337,2022_rates_inflation_shock
2022-06-14,full_v0,17263.524280004847,14753.94749828079,-0.057280102300923064,2022_rates_inflation_shock
2022-06-15,full_v0,17197.415055551664,14911.074371769684,-0.06089016941715231,2022_rates_inflation_shock
2022-06-16,full_v0,17283.039990145855,14962.001156474893,-0.056214395903477765,2022_rates_inflation_shock
2022-06-17,full_v0,17055.654946899354,14567.703580373183,-0.06863135093715644,2022_rates_inflation_shock
2022-06-21,full_v0,17032.872461653555,14503.370712489921,-0.06987544813376001,2022_rates_inflation_shock
2022-06-22,full_v0,16822.930757791313,14310.573901094987,-0.08133986399564819,2022_rates_inflation_shock
2022-06-23,full_v0,16580.044025711624,13816.78277330539,-0.09460332929420456,2022_rates_inflation_shock
2022-06-24,full_v0,16707.889034993623,13892.180242737553,-0.08762201817158188,2022_rates_inflation_shock
2022-06-27,full_v0,16726.23449335624,14009.08698030285,-0.08662021643340034,2022_rates_inflation_shock
2022-06-28,full_v0,16831.639704882044,14084.927112856209,-0.08086428916067967,2022_rates_inflation_shock
2022-06-29,full_v0,16782.361923267927,13971.265412387644,-0.08355523131644227,2022_rates_inflation_shock
2022-06-30,full_v0,16583.080166556083,13423.557172880212,-0.09443753288207779,2022_rates_inflation_shock
2022-07-01,full_v0,16471.891840841567,13369.96480449472,-0.10050926223135825,2022_rates_inflation_shock
2022-07-05,full_v0,16253.74517578273,12830.86776234351,-0.11242173146024281,2022_rates_inflation_shock
