date,strategy,gross_return,cash_return,transaction_cost,net_return,equity,drawdown,turnover,exposure,cash_weight
2021-01-15,model,0.000908517786275409,0.00010895490395388396,0.0,0.001017472690229293,16683.71089137469,0.0,0.0,0.3,0.7
2021-01-19,model,-0.0007246158800993663,0.00010895490395388396,0.0,-0.0006156609761454823,16673.439381641576,-0.0006156609761455156,0.0,0.3,0.7
2021-01-20,model,-0.001452779941703508,0.00010895490395388396,0.0,-0.001343825037749624,16651.033196335124,-0.001958658673260727,0.0,0.3,0.7
2021-01-21,model,0.0005474238067628034,0.00010895490395388396,0.0,0.0006563787107166873,16661.962580036634,-0.0013035655843985916,0.0,0.3,0.7
2021-01-22,model,-0.0047359081894977504,0.00010895490395388396,0.0,-0.004626953285543867,16584.868457533325,-0.005924487332878869,0.0,0.3,0.7
2021-01-25,model,0.002220864664536526,0.00010895490395388396,0.0,0.00232981956849041,16623.508208606527,-0.0036084707509097536,0.0,0.3,0.7
2021-01-26,model,0.002939386288529033,0.00010895490395388396,0.0,0.003048341192482917,16674.1823334424,-0.0005711294084587148,0.0,0.3,0.7
2021-01-27,model,-0.0010915672865108195,0.00010895490395388396,0.0,-0.0009826123825569355,16657.798075412546,-0.001553180592187009,0.0,0.3,0.7
2021-01-28,model,-0.002373719029074139,0.00010895490395388396,0.0,-0.002264764125120255,16620.072091927854,-0.003814427129622211,0.0,0.3,0.7
2021-01-29,model,0.0016564565564872735,0.00010895490395388396,0.00041705869995207345,0.0013483527604890842,16642.481812012535,-0.002471217562482919,0.41705869995207345,0.3,0.7
2021-02-01,model,0.006012470669162068,4.403977453044128e-05,0.0,0.00605651044369251,16743.27717691595,0.0,0.0,0.7170586999520735,0.2829413000479265
2021-02-02,model,0.0021960757699020215,4.403977453044128e-05,0.0,0.0022401155444324626,16780.784052384704,0.0,0.0,0.7170586999520735,0.2829413000479265
2021-02-03,model,0.006250545659131704,4.403977453044128e-05,0.0,0.006294585433662145,16886.412131246274,0.0,0.0,0.7170586999520735,0.2829413000479265
2021-02-04,model,0.00237839230667828,4.403977453044128e-05,0.0,0.002422432081208721,16927.318317729518,0.0,0.0,0.7170586999520735,0.2829413000479265
2021-02-05,model,0.009260597291324387,4.403977453044128e-05,0.0,0.009304637065854828,17084.82087117419,0.0,0.0,0.7170586999520735,0.2829413000479265
2021-02-08,model,0.007647833934970743,4.403977453044128e-05,0.0,0.0076918737095011845,17216.235155664708,0.0,0.0,0.7170586999520735,0.2829413000479265
2021-02-09,model,0.0036539402413572333,4.403977453044128e-05,0.0,0.0036979800158876744,17279.900449219178,0.0,0.0,0.7170586999520735,0.2829413000479265
2021-02-10,model,0.0014388797960206228,4.403977453044128e-05,0.0,0.0014829195705510642,17305.525151772497,0.0,0.0,0.7170586999520735,0.2829413000479265
2021-02-11,model,-0.0003287367401044619,4.403977453044128e-05,0.0,-0.00028469696557402067,17300.598321274127,-0.00028469696557398283,0.0,0.7170586999520735,0.2829413000479265
2021-02-12,model,0.005818262129476153,4.403977453044128e-05,0.0,0.005862301904006595,17402.01965175338,0.0,0.0,0.7170586999520735,0.2829413000479265
2021-02-16,model,0.010891211788424832,4.403977453044128e-05,0.0,0.010935251562955273,17592.3151143488,0.0,0.0,0.7170586999520735,0.2829413000479265
2021-02-17,model,-0.0005137035910949914,4.403977453044128e-05,0.0,-0.0004696638165645502,17584.052640489987,-0.00046966381656454725,0.0,0.7170586999520735,0.2829413000479265
2021-02-18,model,0.00400191796514542,4.403977453044128e-05,0.0,0.0040459577396758616,17655.196974365645,0.0,0.0,0.7170586999520735,0.2829413000479265
2021-02-19,model,0.007842120154618099,4.403977453044128e-05,0.0,0.00788615992914854,17794.428681286114,0.0,0.0,0.7170586999520735,0.2829413000479265
2021-02-22,model,0.01693124768350768,4.403977453044128e-05,0.0,0.016975287458038123,18096.494223302507,0.0,0.0,0.7170586999520735,0.2829413000479265
2021-02-23,model,0.006534378776821686,4.403977453044128e-05,0.0,0.006578418551352128,18215.540536615517,0.0,0.0,0.7170586999520735,0.2829413000479265
2021-02-24,model,0.014112595635575601,4.403977453044128e-05,0.0,0.014156635410106042,18473.41130279039,0.0,0.0,0.7170586999520735,0.2829413000479265
2021-02-25,model,-0.0067710923189801845,4.403977453044128e-05,0.0,-0.006727052544449743,18349.13969428129,-0.00672705254444983,0.0,0.7170586999520735,0.2829413000479265
2021-02-26,model,-0.01835906052450694,4.403977453044128e-05,9.765170180230548e-05,-0.018412672451778803,18011.282995318557,-0.02501586198116168,0.09765170180230548,0.7170586999520735,0.2829413000479265
2021-03-01,model,-0.004013656299981135,3.974887945057111e-05,0.0,-0.003973907420530564,17939.707824170182,-0.0288903586821343,0.0,0.7446263123027799,0.25537368769722013
2021-03-02,model,0.002941031503775441,3.974887945057111e-05,0.0,0.002980780383226012,17993.182153333277,-0.025995694113332357,0.0,0.7446263123027799,0.25537368769722013
2021-03-03,model,0.0009572091019682885,3.974887945057111e-05,0.0,0.0009969579814188595,18011.120599892165,-0.02502465274664234,0.0,0.7446263123027799,0.25537368769722013
2021-03-04,model,0.002214034446986821,3.974887945057111e-05,0.0,0.002253783326437392,18051.71376319065,-0.022827269565315333,0.0,0.7446263123027799,0.25537368769722013
2021-03-05,model,0.015743954112143473,3.974887945057111e-05,0.0,0.015783702991594043,18336.636651718127,-0.007403865416649058,0.0,0.7446263123027799,0.25537368769722013
2021-03-08,model,-0.005895167995763593,3.974887945057111e-05,0.0,-0.0058554191163130214,18229.26795893877,-0.013215931797866953,0.0,0.7446263123027799,0.25537368769722013
2021-03-09,model,-0.0038044038131900488,3.974887945057111e-05,0.0,-0.0037646549337394778,18160.64105537869,-0.016930833308759663,0.0,0.7446263123027799,0.25537368769722013
2021-03-10,model,0.002719130959080644,3.974887945057111e-05,0.0,0.002758879838531215,18210.744081841178,-0.014218663604893433,0.0,0.7446263123027799,0.25537368769722013
2021-03-11,model,0.012692591343196096,3.974887945057111e-05,0.0,0.012732340222646667,18442.60947119873,-0.0016673602447756508,0.0,0.7446263123027799,0.25537368769722013
2021-03-12,model,-0.0010894684539152022,3.974887945057111e-05,0.0,-0.001049719574464631,18423.249903032607,-0.002715329558553692,0.0,0.7446263123027799,0.25537368769722013
2021-03-15,model,-0.0011753642885166402,3.974887945057111e-05,0.0,-0.0011356154090660692,18402.328176557647,-0.0038478613975323483,0.0,0.7446263123027799,0.25537368769722013
2021-03-16,model,-0.005094369448287856,3.974887945057111e-05,0.0,-0.005054620568837285,18309.311390041923,-0.008883032487003617,0.0,0.7446263123027799,0.25537368769722013
2021-03-17,model,0.0029608595469789536,3.974887945057111e-05,0.0,0.0030006084264295246,18364.250464081008,-0.005909078562706838,0.0,0.7446263123027799,0.25537368769722013
2021-03-18,model,-0.028755179292503086,3.974887945057111e-05,0.0,-0.028715430413052516,17836.913107791825,-0.03445482724148663,0.0,0.7446263123027799,0.25537368769722013
2021-03-19,model,0.008909279268987142,3.974887945057111e-05,0.0,0.008949028148437713,17996.536145274687,-0.025814136311882563,0.0,0.7446263123027799,0.25537368769722013
